"Artist","Genres"
"SoulSecret","italian progressive metal"
"SoulSecret","melodic progressive metal"
"SoulSecret","relaxative"
"Habstrakt","bass house"
"Habstrakt","dubstep"
"Habstrakt","edm"
"Habstrakt","electro house"
"Habstrakt","electronic trap"
"Habstrakt","filthstep"
"SofiTukker","Unknown"
"TheMonkees","beatlesque"
"TheMonkees","brill building pop"
"TheMonkees","bubblegum pop"
"TheMonkees","classic rock"
"TheMonkees","country rock"
"TheMonkees","folk rock"
"TheMonkees","mellow gold"
"TheMonkees","psychedelic rock"
"TheMonkees","rock"
"TheMonkees","soft rock"
"TheMonkees","sunshine pop"
"BadComputer","complextro"
"BadComputer","edm"
"BadComputer","electro house"
"BadComputer","gaming edm"
"Potluck","country rap"
"YellowClaw","bass trap"
"YellowClaw","edm"
"YellowClaw","electro house"
"YellowClaw","electronic trap"
"YellowClaw","pop dance"
"FeddeLeGrand","disco house"
"FeddeLeGrand","dutch house"
"FeddeLeGrand","edm"
"FeddeLeGrand","electro house"
"FeddeLeGrand","house"
"FeddeLeGrand","pop dance"
"FeddeLeGrand","progressive electro house"
"FeddeLeGrand","progressive house"
"FeddeLeGrand","tropical house"
"SmokeyJoe&TheKid","electro swing"
"SmokeyJoe&TheKid","nu jazz"
"EndlessMelancholy","compositional ambient"
"EndlessMelancholy","ukrainian experimental"
"Rittz","atl hip hop"
"Rittz","country rap"
"Rittz","pop rap"
"Rittz","southern hip hop"
"RodolfoAicardi","classic colombian pop"
"RodolfoAicardi","cumbia"
"RodolfoAicardi","musica popular colombiana"
"Walker&Royce","contemporary country"
"Walker&Royce","country"
"Walker&Royce","country pop"
"Walker&Royce","country road"
"Walker&Royce","modern country rock"
"Redman","alternative hip hop"
"Redman","east coast hip hop"
"Redman","gangster rap"
"Redman","hardcore hip hop"
"Redman","hip hop"
"Redman","new jersey rap"
"Redman","rap"
"Redman","southern hip hop"
"Redman","wu fam"
"WaxMotif","bass house"
"WaxMotif","edm"
"WaxMotif","electro house"
"KendrickLamar","conscious hip hop"
"KendrickLamar","hip hop"
"KendrickLamar","rap"
"KendrickLamar","west coast rap"
