"artistName","album","trackName","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genres"
"JOYRYDE","SELECTA 19","SELECTA 19","1ALrTfSEogKhyzcgs8spWN",0.802,0.833,11,-3.986,0,0.339,0.00351,0.00169,0.36,0.452,132.006,250000,4,"edm"
"JOYRYDE","SELECTA 19","SELECTA 19","1ALrTfSEogKhyzcgs8spWN",0.802,0.833,11,-3.986,0,0.339,0.00351,0.00169,0.36,0.452,132.006,250000,4,"electro house"
"JOYRYDE","SELECTA 19","SELECTA 19","1ALrTfSEogKhyzcgs8spWN",0.802,0.833,11,-3.986,0,0.339,0.00351,0.00169,0.36,0.452,132.006,250000,4,"electronic trap"
"JOYRYDE","THE BOX","THE BOX","0nbXyq5TXYPCO7pr3N8S4I",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4,"bass house"
"JOYRYDE","THE BOX","THE BOX","0nbXyq5TXYPCO7pr3N8S4I",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4,"edm"
"JOYRYDE","THE BOX","THE BOX","0nbXyq5TXYPCO7pr3N8S4I",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4,"electro house"
"JOYRYDE","THE BOX","THE BOX","0nbXyq5TXYPCO7pr3N8S4I",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4,"electronic trap"
"JOYRYDE","WINDOWS FT. RICK RO$$","WINDOWS FT. RICK RO$$","47pgDM5iCb9PYyXYpOPFyF",0.691,0.931,11,-3.639,1,0.354,0.0394,3.07e-06,0.708,0.471,160.158,234750,4,"bass house"
"JOYRYDE","WINDOWS FT. RICK RO$$","WINDOWS FT. RICK RO$$","47pgDM5iCb9PYyXYpOPFyF",0.691,0.931,11,-3.639,1,0.354,0.0394,3.07e-06,0.708,0.471,160.158,234750,4,"edm"
"JOYRYDE","WINDOWS FT. RICK RO$$","WINDOWS FT. RICK RO$$","47pgDM5iCb9PYyXYpOPFyF",0.691,0.931,11,-3.639,1,0.354,0.0394,3.07e-06,0.708,0.471,160.158,234750,4,"electro house"
"JOYRYDE","WINDOWS FT. RICK RO$$","WINDOWS FT. RICK RO$$","47pgDM5iCb9PYyXYpOPFyF",0.691,0.931,11,-3.639,1,0.354,0.0394,3.07e-06,0.708,0.471,160.158,234750,4,"electronic trap"
"JOYRYDE","YUCK","YUCK","1j3SdMJfeRJXycCp50boYE",0.597,0.617,8,-7.482,0,0.282,0.463,0,0.66,0.889,97.923,275520,4,"bass house"
"JOYRYDE","YUCK","YUCK","1j3SdMJfeRJXycCp50boYE",0.597,0.617,8,-7.482,0,0.282,0.463,0,0.66,0.889,97.923,275520,4,"edm"
"JOYRYDE","YUCK","YUCK","1j3SdMJfeRJXycCp50boYE",0.597,0.617,8,-7.482,0,0.282,0.463,0,0.66,0.889,97.923,275520,4,"electro house"
"JOYRYDE","YUCK","YUCK","1j3SdMJfeRJXycCp50boYE",0.597,0.617,8,-7.482,0,0.282,0.463,0,0.66,0.889,97.923,275520,4,"electronic trap"
"JuanPabloRey","Solos","Solos","0WKd91LoIHCFIhDmgewjhy",0.73,0.706,9,-5.274,0,0.0802,0.518,0,0.361,0.935,83.962,188827,4,"Unknown"
"JuliaJacklin","Crushing","Don't Know How To Keep Loving You","3bt6gBOA41MHQfXy0Jf855",0.589,0.419,5,-6.524,0,0.0275,0.213,0.000187,0.106,0.154,132.121,332987,4,"art pop"
"JuliaJacklin","Crushing","Don't Know How To Keep Loving You","3bt6gBOA41MHQfXy0Jf855",0.589,0.419,5,-6.524,0,0.0275,0.213,0.000187,0.106,0.154,132.121,332987,4,"indie folk"
"JuliaJacklin","Crushing","Don't Know How To Keep Loving You","3bt6gBOA41MHQfXy0Jf855",0.589,0.419,5,-6.524,0,0.0275,0.213,0.000187,0.106,0.154,132.121,332987,4,"indie pop"
"JuliaJacklin","Crushing","Don't Know How To Keep Loving You","3bt6gBOA41MHQfXy0Jf855",0.589,0.419,5,-6.524,0,0.0275,0.213,0.000187,0.106,0.154,132.121,332987,4,"indie rock"
"JuliaJacklin","Crushing","Don't Know How To Keep Loving You","3bt6gBOA41MHQfXy0Jf855",0.589,0.419,5,-6.524,0,0.0275,0.213,0.000187,0.106,0.154,132.121,332987,4,"sydney indie"
